Keyword,Search Volume,Competition Score,Buyer Intent Score,Current Ranking,Target Difficulty,Content Status,Priority Level,Category,Parent Topic,Estimated Traffic,Conversion Potential,Content Type,Target Publish Date,Notes
"best external hard drive for PS5",400,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Gaming,External Storage,100,High,Review,2025-08-08,"Console-specific accessory"
"wireless mouse for left handed users",150,18,HIGH,Not Ranking,15-25,Not Created,LOW,Accessories,Wireless Mice,40,High,Review,2025-08-12,"Demographic-specific design"
"best blue light glasses for computer work",500,32,HIGH,Not Ranking,30-35,Not Created,HIGH,Health,Blue Light Glasses,125,High,Review,2025-08-22,"Use case + health specific"
"portable speaker for motorcycle",180,22,HIGH,Not Ranking,20-25,Not Created,LOW,Audio,Portable Speakers,45,High,Review,2025-08-15,"Vehicle-specific audio"
"best thermal printer for shipping labels",250,25,HIGH,Not Ranking,20-30,Not Created,MEDIUM,Business,Printers,65,High,Review,2025-08-01,"Business use case specific"
"gaming chair for tall people",300,28,HIGH,Not Ranking,25-30,Not Created,MEDIUM,Furniture,Gaming Chairs,75,High,Review,2025-08-10,"Demographic-specific furniture"
"best dash cam with GPS tracking",350,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Automotive,Dash Cams,90,High,Review,2025-08-18,"Feature-specific product"
"portable air conditioner for small room",600,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Home,Air Conditioners,150,High,Review,2025-08-25,"Size-specific appliance"
"best microphone for podcast recording",400,32,HIGH,Not Ranking,30-35,Not Created,HIGH,Audio,Microphones,100,High,Review,2025-08-05,"Use case specific audio"
"wireless earbuds with longest battery life",450,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Audio,Wireless Earbuds,115,High,Review,2025-08-12,"Feature-specific comparison"
"best tablet stand for bed",200,20,HIGH,Not Ranking,15-25,Not Created,LOW,Accessories,Tablet Stands,50,High,Review,2025-08-20,"Location-specific accessory"
"portable ice maker for camping",250,24,HIGH,Not Ranking,20-28,Not Created,MEDIUM,Outdoor,Ice Makers,65,High,Review,2025-08-08,"Use case specific appliance"
"best smart doorbell without subscription",400,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Smart Home,Smart Doorbells,100,High,Review,2025-08-15,"Feature-specific (no subscription)"
"gaming headset with best microphone",350,28,HIGH,Not Ranking,25-30,Not Created,HIGH,Gaming,Gaming Headsets,90,High,Review,2025-08-22,"Feature-specific gaming gear"
"best laptop cooling pad for gaming",300,25,HIGH,Not Ranking,20-30,Not Created,MEDIUM,Gaming,Laptop Accessories,75,High,Review,2025-08-10,"Use case specific accessory"
"portable generator for food truck",180,22,HIGH,Not Ranking,20-25,Not Created,LOW,Business,Generators,45,High,Review,2025-08-18,"Business use case specific"
"best action camera for motorcycle",280,26,HIGH,Not Ranking,25-30,Not Created,MEDIUM,Cameras,Action Cameras,70,High,Review,2025-08-25,"Vehicle-specific camera"
"wireless charging car mount for iPhone",350,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Automotive,Car Accessories,90,High,Review,2025-08-01,"Device + vehicle specific"
"best smart scale for athletes",250,24,HIGH,Not Ranking,20-28,Not Created,MEDIUM,Fitness,Smart Scales,65,High,Review,2025-08-12,"Demographic-specific health"
"portable washing machine for apartments",400,32,HIGH,Not Ranking,30-35,Not Created,HIGH,Home,Washing Machines,100,High,Review,2025-08-20,"Living situation specific"
"best keyboard for programming",450,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Programming,Keyboards,115,High,Review,2025-08-05,"Professional use case specific"
"mini fridge for dorm room",500,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Home,Mini Fridges,125,High,Review,2025-08-15,"Location-specific appliance"
"best phone gimbal for TikTok",300,28,HIGH,Not Ranking,25-30,Not Created,HIGH,Content Creation,Phone Gimbals,75,High,Review,2025-08-22,"Platform-specific tool"
