product_name,affiliate_url,status,article_slug,category,last_updated,notes
"Rode PodMic",pending,pending,usb-microphone-for-podcasting,audio,2025-01-17,Need ASIN - broadcast microphone
"Logitech C920",pending,pending,best-webcam-for-streaming,cameras,2025-01-17,Need ASIN - popular webcam
"Razer Kiyo",pending,pending,best-webcam-for-streaming,cameras,2025-01-17,Need ASIN - ring light webcam
"Elgato Facecam",pending,pending,best-webcam-for-streaming,cameras,2025-01-17,Need ASIN - professional webcam
"Belkin Boost Up",pending,pending,wireless-charging-pad-review,accessories,2025-01-17,Need ASIN - wireless charger
"Anker PowerWave",pending,pending,wireless-charging-pad-review,accessories,2025-01-17,Need ASIN - fast wireless charger
"Samsung Wireless Charger",pending,pending,wireless-charging-pad-review,accessories,2025-01-17,Need ASIN - official Samsung charger
"Steelcase Leap",pending,pending,best-office-chair-under-200,office,2025-01-17,Need ASIN - high-end office chair
"Herman Miller Aeron",pending,pending,best-office-chair-under-200,office,2025-01-17,Need ASIN - premium office chair
"IKEA Markus",pending,pending,best-office-chair-under-200,office,2025-01-17,Need ASIN - budget office chair
"Corsair MM300",pending,pending,best-gaming-mouse-pad,peripherals,2025-01-17,Need ASIN - extended mouse pad
"SteelSeries QcK",pending,pending,best-gaming-mouse-pad,peripherals,2025-01-17,Need ASIN - gaming mouse pad
"Razer Goliathus",pending,pending,best-gaming-mouse-pad,peripherals,2025-01-17,Need ASIN - speed mouse pad
"Logitech G Pro X",pending,pending,wireless-mouse-for-gaming,peripherals,2025-01-17,Need ASIN - pro gaming mouse
"Razer DeathAdder V3",pending,pending,wireless-mouse-for-gaming,peripherals,2025-01-17,Need ASIN - ergonomic gaming mouse
"SteelSeries Rival 650",pending,pending,wireless-mouse-for-gaming,peripherals,2025-01-17,Need ASIN - dual sensor mouse
