keyword,search_volume,difficulty,category,intent,products
"wireless charging pad review",1300,35,accessories,informational,"Belkin Boost Up;Anker PowerWave;Samsung Wireless Charger"
"home office setup guide",2100,45,office,informational,"Herman Miller Aeron;Steelcase Leap;IKEA Markus"
"best vpn service 2025",3900,70,software,commercial,"ExpressVPN;NordVPN;Surfshark"
"action camera comparison",1900,40,cameras,commercial,"GoPro Hero 11;DJI Action 2;Insta360 GO 3"
"best budget graphics card",2700,50,components,commercial,"GTX 1660 Super;RX 6600;RTX 3060"
"smart home starter kit",1800,42,smart-home,commercial,"Amazon Echo Dot;Google Nest Mini;Philips Hue Starter"
"best coffee maker under 100",2300,48,kitchen,commercial,"Cuisinart DCC-3200;Mr. Coffee Optimal Brew;Hamilton Beach FlexBrew"
"portable projector review",1500,40,entertainment,informational,"HAPPRUN H1;PVO Mini Projector;Vamvo L4600"
"best usb-c hub 2025",1200,35,accessories,commercial,"Anker PowerExpand;HyperDrive DUO;Satechi Aluminum Multi-Port"
"electric toothbrush comparison",2800,50,health,commercial,"Oral-B Pro 1000;Philips Sonicare;Fairywill Sonic"
"best budget soundbar",2100,45,audio,commercial,"Yamaha YAS-109;Polk Audio Signa S2;TCL Alto 6+"
"wireless mouse for gaming",1600,38,peripherals,commercial,"Logitech G Pro X;Razer DeathAdder V3;SteelSeries Rival 650"
"best tablet for drawing",1900,42,tablets,commercial,"iPad Pro;Surface Pro 8;Wacom Intuos"
"portable generator comparison",2200,48,power,commercial,"Honda EU2200i;Generac GP3000i;WEN 56380i"
"best budget drone 2025",2600,50,drones,commercial,"DJI Mini 2;Holy Stone HS720;Potensic D88"
"ergonomic office chair review",1700,45,furniture,informational,"Steelcase Leap;Herman Miller Aeron;Humanscale Freedom"
"best external ssd 2025",1400,40,storage,commercial,"Samsung T7;SanDisk Extreme Pro;Crucial X8"
"smart doorbell comparison",1800,42,security,commercial,"Ring Video Doorbell;Nest Hello;Arlo Video Doorbell"
"best budget 4k tv 2025",3400,60,entertainment,commercial,"TCL 6-Series;Hisense U6G;Roku TV 55R635"
"portable car jump starter",1300,35,automotive,commercial,"NOCO Boost Plus;Clore Automotive Jump-N-Carry;Hulkman Alpha85"
"best gaming mouse pad",1100,30,peripherals,commercial,"Corsair MM300;SteelSeries QcK;Razer Goliathus"
"wireless keyboard and mouse combo",1600,38,peripherals,commercial,"Logitech MK545;Microsoft Sculpt;Corsair K63 Wireless"
"best budget mirrorless camera",2300,52,cameras,commercial,"Sony a6100;Fujifilm X-T30;Canon EOS M50 Mark II"
"portable bluetooth printer",900,32,printers,commercial,"HP Sprocket;Canon Selphy CP1300;Polaroid Zip"
"best smart thermostat 2025",2000,45,smart-home,commercial,"Nest Learning;Ecobee SmartThermostat;Honeywell T9"
"usb microphone for podcasting",1400,40,audio,commercial,"Audio-Technica ATR2100x;Blue Yeti;Rode PodMic"
"best budget electric bike",2800,55,transportation,commercial,"Rad Power Bikes;Aventon Pace 500;Ancheer Electric Mountain"
"smart watch for fitness",2200,48,wearables,commercial,"Apple Watch Series 8;Garmin Forerunner 245;Fitbit Versa 3"
